segment_id,source_file,number_of_frames,time_of_day,location,weather,average_vehicles_per_frame,maximum_vehicles_in_frame,vehicle_frame_coverage_percent,average_pedestrians_per_frame,maximum_pedestrians_in_frame,pedestrian_frame_coverage_percent,average_cyclists_per_frame,maximum_cyclists_in_frame,cyclist_frame_coverage_percent,average_signs_per_frame,average_target_objects_per_frame,density_group
18446264979321894359_3700_000_3720_000,18446264979321894359_3700_000_3720_000.parquet,199,Day,location_sf,sunny,48.322,122,100.0,38.171,51,100.0,0.749,1,74.87,0.0,87.241,high
191862526745161106_1400_000_1420_000,191862526745161106_1400_000_1420_000.parquet,199,Day,location_sf,sunny,22.698,60,100.0,0.0,0,0.0,0.0,0,0.0,0.0,22.698,low
1943605865180232897_680_000_700_000,1943605865180232897_680_000_700_000.parquet,199,Day,location_sf,sunny,113.739,157,100.0,47.462,61,100.0,0.0,0,0.0,0.0,161.201,high
2551868399007287341_3100_000_3120_000,2551868399007287341_3100_000_3120_000.parquet,199,Day,location_sf,sunny,108.97,199,100.0,27.678,42,100.0,0.0,0,0.0,0.0,136.648,high
3015436519694987712_1300_000_1320_000,3015436519694987712_1300_000_1320_000.parquet,199,Day,location_sf,sunny,39.945,90,100.0,3.452,11,98.49,0.0,0,0.0,0.0,43.397,medium
3077229433993844199_1080_000_1100_000,3077229433993844199_1080_000_1100_000.parquet,199,Day,location_sf,sunny,39.482,75,100.0,3.151,9,100.0,0.0,0,0.0,0.0,42.633,medium
30779396576054160_1880_000_1900_000,30779396576054160_1880_000_1900_000.parquet,198,Day,location_sf,sunny,36.788,47,100.0,54.742,62,100.0,1.0,1,100.0,0.0,92.53,high
3577352947946244999_3980_000_4000_000,3577352947946244999_3980_000_4000_000.parquet,199,Day,location_sf,sunny,43.849,56,100.0,38.794,49,100.0,1.276,2,100.0,0.0,83.92,high
3651243243762122041_3920_000_3940_000,3651243243762122041_3920_000_3940_000.parquet,198,Day,location_sf,sunny,22.899,51,100.0,1.485,5,66.67,0.0,0,0.0,0.0,24.384,low
3731719923709458059_1540_000_1560_000,3731719923709458059_1540_000_1560_000.parquet,198,Day,location_sf,sunny,39.303,52,100.0,0.0,0,0.0,0.0,0,0.0,0.0,39.303,medium
4013125682946523088_3540_000_3560_000,4013125682946523088_3540_000_3560_000.parquet,198,Day,location_sf,sunny,29.439,69,100.0,0.783,4,30.81,0.0,0,0.0,0.0,30.222,medium
447576862407975570_4360_000_4380_000,447576862407975570_4360_000_4380_000.parquet,198,Day,location_sf,sunny,19.99,45,100.0,0.0,0,0.0,0.0,0,0.0,0.0,19.99,low
4575389405178805994_4900_000_4920_000,4575389405178805994_4900_000_4920_000.parquet,199,Day,location_sf,sunny,71.608,128,100.0,17.477,29,100.0,0.0,0,0.0,0.0,89.085,high
4612525129938501780_340_000_360_000,4612525129938501780_340_000_360_000.parquet,199,Day,location_sf,sunny,54.392,71,100.0,18.04,25,100.0,0.653,1,65.33,0.0,73.085,high
4690718861228194910_1980_000_2000_000,4690718861228194910_1980_000_2000_000.parquet,199,Day,location_sf,sunny,48.995,57,100.0,17.055,23,100.0,0.392,1,39.2,0.0,66.442,high
4759225533437988401_800_000_820_000,4759225533437988401_800_000_820_000.parquet,198,Day,location_sf,sunny,38.227,48,100.0,17.131,33,100.0,0.0,0,0.0,0.0,55.359,medium
4764167778917495793_860_000_880_000,4764167778917495793_860_000_880_000.parquet,199,Day,location_sf,sunny,24.844,32,100.0,33.844,78,100.0,0.0,0,0.0,0.0,58.688,medium
4854173791890687260_2880_000_2900_000,4854173791890687260_2880_000_2900_000.parquet,199,Day,location_sf,sunny,44.503,118,100.0,10.618,21,100.0,0.548,1,54.77,0.0,55.668,medium
5302885587058866068_320_000_340_000,5302885587058866068_320_000_340_000.parquet,199,Day,location_sf,sunny,49.07,65,100.0,21.497,71,100.0,0.0,0,0.0,0.0,70.568,high
5832416115092350434_60_000_80_000,5832416115092350434_60_000_80_000.parquet,198,Day,location_sf,sunny,63.318,125,100.0,26.071,39,100.0,0.0,0,0.0,0.0,89.389,high
5847910688643719375_180_000_200_000,5847910688643719375_180_000_200_000.parquet,198,Day,location_sf,sunny,93.884,162,100.0,19.394,51,100.0,0.0,0,0.0,0.0,113.278,high
5990032395956045002_6600_000_6620_000,5990032395956045002_6600_000_6620_000.parquet,199,Day,location_sf,sunny,51.186,67,100.0,39.317,50,100.0,0.0,0,0.0,0.0,90.503,high
6074871217133456543_1000_000_1020_000,6074871217133456543_1000_000_1020_000.parquet,197,Day,location_sf,sunny,24.685,54,100.0,0.0,0,0.0,0.0,0,0.0,0.0,24.685,low
6680764940003341232_2260_000_2280_000,6680764940003341232_2260_000_2280_000.parquet,198,Day,location_sf,sunny,47.172,55,100.0,4.99,7,100.0,0.121,1,12.12,0.0,52.283,medium
7253952751374634065_1100_000_1120_000,7253952751374634065_1100_000_1120_000.parquet,199,Day,location_sf,sunny,18.337,38,100.0,0.508,2,47.24,0.0,0,0.0,0.0,18.844,low
7493781117404461396_2140_000_2160_000,7493781117404461396_2140_000_2160_000.parquet,199,Day,location_sf,sunny,147.116,217,100.0,78.935,113,100.0,0.0,0,0.0,0.0,226.05,high
7650923902987369309_2380_000_2400_000,7650923902987369309_2380_000_2400_000.parquet,198,Day,location_sf,sunny,21.955,34,100.0,0.0,0,0.0,0.0,0,0.0,0.0,21.955,low
7732779227944176527_2120_000_2140_000,7732779227944176527_2120_000_2140_000.parquet,199,Day,location_sf,sunny,68.317,106,100.0,51.869,76,100.0,0.0,0,0.0,0.0,120.186,high
7799643635310185714_680_000_700_000,7799643635310185714_680_000_700_000.parquet,198,Day,location_sf,sunny,150.146,203,100.0,38.348,63,100.0,0.5,2,46.46,0.0,188.995,high
7932945205197754811_780_000_800_000,7932945205197754811_780_000_800_000.parquet,198,Day,location_sf,sunny,90.742,100,100.0,7.364,12,100.0,0.0,0,0.0,0.0,98.106,high
8079607115087394458_1240_000_1260_000,8079607115087394458_1240_000_1260_000.parquet,198,Day,location_sf,sunny,29.869,59,100.0,25.359,47,100.0,0.0,0,0.0,0.0,55.227,medium
8137195482049459160_3100_000_3120_000,8137195482049459160_3100_000_3120_000.parquet,199,Day,location_sf,sunny,41.859,48,100.0,29.854,37,100.0,0.0,0,0.0,0.0,71.714,high
8302000153252334863_6020_000_6040_000,8302000153252334863_6020_000_6040_000.parquet,199,Day,location_sf,sunny,52.678,75,100.0,62.035,74,100.0,0.337,1,33.67,0.0,115.05,high
8506432817378693815_4860_000_4880_000,8506432817378693815_4860_000_4880_000.parquet,198,Day,location_sf,sunny,34.136,44,100.0,75.909,100,100.0,1.571,3,100.0,0.0,111.616,high
8907419590259234067_1960_000_1980_000,8907419590259234067_1960_000_1980_000.parquet,198,Day,location_sf,sunny,79.197,134,100.0,42.929,52,100.0,0.0,0,0.0,0.0,122.126,high
89454214745557131_3160_000_3180_000,89454214745557131_3160_000_3180_000.parquet,199,Day,location_sf,sunny,90.111,123,100.0,40.884,51,100.0,0.94,2,92.96,0.0,131.935,high
902001779062034993_2880_000_2900_000,902001779062034993_2880_000_2900_000.parquet,198,Day,location_sf,sunny,38.879,70,100.0,1.576,5,95.96,0.0,0,0.0,0.0,40.455,medium
9231652062943496183_1740_000_1760_000,9231652062943496183_1740_000_1760_000.parquet,198,Day,location_sf,sunny,50.152,106,100.0,36.253,52,100.0,1.49,4,69.19,0.0,87.894,high
933621182106051783_4160_000_4180_000,933621182106051783_4160_000_4180_000.parquet,198,Day,location_sf,sunny,49.354,92,100.0,5.672,9,100.0,0.0,0,0.0,0.0,55.025,medium
11901761444769610243_556_000_576_000,11901761444769610243_556_000_576_000.parquet,196,Night,location_other,sunny,9.128,15,100.0,0.0,0,0.0,0.0,0,0.0,0.0,9.128,low
13184115878756336167_1354_000_1374_000,13184115878756336167_1354_000_1374_000.parquet,199,Night,location_other,sunny,67.482,109,100.0,1.296,4,71.86,0.0,0,0.0,0.0,68.779,high
10335539493577748957_1372_870_1392_870,10335539493577748957_1372_870_1392_870.parquet,198,Night,location_phx,sunny,17.04,34,100.0,1.338,8,47.98,0.0,0,0.0,0.0,18.379,low
11037651371539287009_77_670_97_670,11037651371539287009_77_670_97_670.parquet,191,Night,location_phx,sunny,11.686,17,100.0,2.131,4,65.45,0.0,0,0.0,0.0,13.817,low
14107757919671295130_3546_370_3566_370,14107757919671295130_3546_370_3566_370.parquet,194,Night,location_phx,sunny,35.773,55,100.0,1.675,7,72.16,0.0,0,0.0,0.0,37.448,medium
18024188333634186656_1566_600_1586_600,18024188333634186656_1566_600_1586_600.parquet,198,Night,location_phx,sunny,49.51,63,100.0,12.071,26,100.0,0.0,0,0.0,0.0,61.581,medium
18305329035161925340_4466_730_4486_730,18305329035161925340_4466_730_4486_730.parquet,197,Night,location_phx,sunny,16.64,47,100.0,0.0,0,0.0,0.0,0,0.0,0.0,16.64,low
4816728784073043251_5273_410_5293_410,4816728784073043251_5273_410_5293_410.parquet,196,Night,location_phx,sunny,7.255,12,100.0,1.158,4,56.63,0.0,0,0.0,0.0,8.413,low
9164052963393400298_4692_970_4712_970,9164052963393400298_4692_970_4712_970.parquet,199,Night,location_phx,sunny,21.583,45,100.0,0.864,8,26.63,0.0,0,0.0,0.0,22.447,low
11387395026864348975_3820_000_3840_000,11387395026864348975_3820_000_3840_000.parquet,197,Night,location_sf,sunny,34.701,46,100.0,2.487,5,97.46,0.0,0,0.0,0.0,37.188,medium
11660186733224028707_420_000_440_000,11660186733224028707_420_000_440_000.parquet,197,Night,location_sf,sunny,35.274,69,100.0,6.396,13,100.0,0.0,0,0.0,0.0,41.67,medium
13694146168933185611_800_000_820_000,13694146168933185611_800_000_820_000.parquet,193,Night,location_sf,sunny,15.767,21,100.0,0.0,0,0.0,0.0,0,0.0,0.0,15.767,low
13982731384839979987_1680_000_1700_000,13982731384839979987_1680_000_1700_000.parquet,199,Night,location_sf,sunny,34.342,42,100.0,1.0,1,100.0,0.0,0,0.0,0.0,35.342,medium
14300007604205869133_1160_000_1180_000,14300007604205869133_1160_000_1180_000.parquet,199,Night,location_sf,sunny,48.568,57,100.0,3.719,6,100.0,2.739,6,93.97,0.0,55.025,medium
1464917900451858484_1960_000_1980_000,1464917900451858484_1960_000_1980_000.parquet,197,Night,location_sf,sunny,12.239,20,100.0,0.0,0,0.0,0.0,0,0.0,0.0,12.239,low
15028688279822984888_1560_000_1580_000,15028688279822984888_1560_000_1580_000.parquet,198,Night,location_sf,sunny,31.793,61,100.0,1.54,4,70.2,0.0,0,0.0,0.0,33.333,medium
4426410228514970291_1620_000_1640_000,4426410228514970291_1620_000_1640_000.parquet,198,Night,location_sf,sunny,15.874,24,100.0,0.202,1,20.2,0.0,0,0.0,0.0,16.076,low
5289247502039512990_2640_000_2660_000,5289247502039512990_2640_000_2660_000.parquet,198,Night,location_sf,sunny,44.551,50,100.0,2.187,3,100.0,0.0,0,0.0,0.0,46.737,medium
8679184381783013073_7740_000_7760_000,8679184381783013073_7740_000_7760_000.parquet,198,Night,location_sf,sunny,49.303,80,100.0,15.364,31,100.0,0.854,2,82.83,0.0,65.52,high
